Threat Title,Category,Interaction,Unnamed: 3,Priority,Description
Cross Site Scripting,Tampering,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Medium,The web server 'WAF / Reverse Proxy' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
Cross Site Scripting,Tampering,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Medium,The web server 'WAF / Reverse Proxy' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
Cross Site Scripting,Tampering,Admin Login (HTTPS),Admin and Admin Portal,High,The web server 'Admin Portal' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
Cross Site Scripting,Tampering,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,Medium,The web server 'WAF / Reverse Proxy' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
WAF / Reverse Proxy Process Memory Tampered,Tampering,Forwarded Request,WAF/Reverse Proxy and Frontend,Medium,"If WAF / Reverse Proxy is given access to memory, such as shared memory or pointers, or is given the ability to control what Frontend (Student/Faculty Portal) executes (for example, passing back a function pointer.), then WAF / Reverse Proxy can tamper with Frontend (Student/Faculty Portal). Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it."
Cross Site Scripting,Tampering,Forwarded Request,WAF/Reverse Proxy and Frontend,Medium,The web server 'Frontend (Student/Faculty Portal)' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.
Admin Portal Process Memory Tampered,Tampering,Admin API Call,Admin Portal and API Backend,High,"If Admin Portal is given access to memory, such as shared memory or pointers, or is given the ability to control what API Backend executes (for example, passing back a function pointer.), then Admin Portal can tamper with API Backend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it."
Frontend (Student/Faculty Portal) Process Memory Tampered,Tampering,API Request,Frontend and API Backend,Medium,"If Frontend (Student/Faculty Portal) is given access to memory, such as shared memory or pointers, or is given the ability to control what API Backend executes (for example, passing back a function pointer.), then Frontend (Student/Faculty Portal) can tamper with API Backend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it."
Potential SQL Injection Vulnerability for HR Database,Tampering,SQL Query,API Backend and Databases,High,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.
The HR Database Data Store Could Be Corrupted,Tampering,SQL Query,API Backend and Databases,Medium,Data flowing across SQL Query may be tampered with by an attacker. This may lead to corruption of HR Database. Ensure the integrity of the data flow to the data store.
Potential SQL Injection Vulnerability for Student Database,Tampering,SQL Query,API Backend and Databases,High,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.
The Student Database Data Store Could Be Corrupted,Tampering,SQL Query,API Backend and Databases,Medium,Data flowing across SQL Query may be tampered with by an attacker. This may lead to corruption of Student Database. Ensure the integrity of the data flow to the data store.
Potential SQL Injection Vulnerability for Finance Database,Tampering,SQL Query,API Backend and Databases,High,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.
The Finance Database Data Store Could Be Corrupted,Tampering,SQL Query,API Backend and Databases,Medium,Data flowing across SQL Query may be tampered with by an attacker. This may lead to corruption of Finance Database. Ensure the integrity of the data flow to the data store.
Frontend (Student/Faculty Portal) Process Memory Tampered,Tampering,File Upload,Frontend and Upload Scan Service,Medium,"If Frontend (Student/Faculty Portal) is given access to memory, such as shared memory or pointers, or is given the ability to control what Upload Scan Service executes (for example, passing back a function pointer.), then Frontend (Student/Faculty Portal) can tamper with Upload Scan Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it."
The Object Storage (LMS Files) Data Store Could Be Corrupted,Tampering,Store File,Upload Scan Service and Object Storage,Medium,Data flowing across Store File may be tampered with by an attacker. This may lead to corruption of Object Storage (LMS Files). Ensure the integrity of the data flow to the data store.
API Backend Process Memory Tampered,Tampering,Audit Entry,API Backend and Audit Service,Medium,"If API Backend is given access to memory, such as shared memory or pointers, or is given the ability to control what Audit Service executes (for example, passing back a function pointer.), then API Backend can tamper with Audit Service. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it."
The Log Store Data Store Could Be Corrupted,Tampering,Write Log,Audit service and Log Store,Medium,Data flowing across Write Log may be tampered with by an attacker. This may lead to corruption of Log Store. Ensure the integrity of the data flow to the data store.
Spoofing the Faculty External Entity,Spoofing,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Low,Faculty may be spoofed by an attacker and this may lead to unauthorized access to WAF / Reverse Proxy. Consider using a standard authentication mechanism to identify the external entity.
Spoofing the Admin External Entity,Spoofing,Admin Login (HTTPS),Admin and Admin Portal,High,Admin may be spoofed by an attacker and this may lead to unauthorized access to Admin Portal. Consider using a standard authentication mechanism to identify the external entity.
Spoofing the External Attacker External Entity,Spoofing,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,Low,External Attacker may be spoofed by an attacker and this may lead to unauthorized access to WAF / Reverse Proxy. Consider using a standard authentication mechanism to identify the external entity.
Spoofing the Identity Provider External Entity,Spoofing,OAuth Token Response,Identity Provider and API Backend,Low,Identity Provider may be spoofed by an attacker and this may lead to unauthorized access to API Backend. Consider using a standard authentication mechanism to identify the external entity.
Spoofing the Payment Provider External Entity,Spoofing,Payment Webhook,Payment Provider and API Backend,High,Payment Provider may be spoofed by an attacker and this may lead to unauthorized access to API Backend. Consider using a standard authentication mechanism to identify the external entity.
Spoofing the API Backend Process,Spoofing,SQL Query,API Backend and Databases,Low,API Backend may be spoofed by an attacker and this may lead to unauthorized access to HR Database. Consider using a standard authentication mechanism to identify the source process.
Spoofing of Destination Data Store HR Database,Spoofing,SQL Query,API Backend and Databases,Low,HR Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of HR Database. Consider using a standard authentication mechanism to identify the destination data store.
Spoofing the API Backend Process,Spoofing,SQL Query,API Backend and Databases,Low,API Backend may be spoofed by an attacker and this may lead to unauthorized access to Student Database. Consider using a standard authentication mechanism to identify the source process.
Spoofing of Destination Data Store Student Database,Spoofing,SQL Query,API Backend and Databases,Low,Student Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Student Database. Consider using a standard authentication mechanism to identify the destination data store.
Spoofing the API Backend Process,Spoofing,SQL Query,API Backend and Databases,Low,API Backend may be spoofed by an attacker and this may lead to unauthorized access to Finance Database. Consider using a standard authentication mechanism to identify the source process.
Spoofing of Destination Data Store Finance Database,Spoofing,SQL Query,API Backend and Databases,Low,Finance Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Finance Database. Consider using a standard authentication mechanism to identify the destination data store.
Spoofing the Upload Scan Service Process,Spoofing,Store File,Upload Scan Service and Object Storage,Low,Upload Scan Service may be spoofed by an attacker and this may lead to unauthorized access to Object Storage (LMS Files). Consider using a standard authentication mechanism to identify the source process.
Spoofing of Destination Data Store Object Storage (LMS Files),Spoofing,Store File,Upload Scan Service and Object Storage,Low,Object Storage (LMS Files) may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Object Storage (LMS Files). Consider using a standard authentication mechanism to identify the destination data store.
Spoofing the Audit Service Process,Spoofing,Write Log,Audit service and Log Store,Low,Audit Service may be spoofed by an attacker and this may lead to unauthorized access to Log Store. Consider using a standard authentication mechanism to identify the source process.
Spoofing of Destination Data Store Log Store,Spoofing,Write Log,Audit service and Log Store,Low,Log Store may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Log Store. Consider using a standard authentication mechanism to identify the destination data store.
Spoofing the Student External Entity,Spoofing,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Low,Student may be spoofed by an attacker and this may lead to unauthorized access to WAF / Reverse Proxy. Consider using a standard authentication mechanism to identify the external entity.
Spoofing of the Payment Provider External Destination Entity,Spoofing,Payment API Call,API Backend and Payment Provider,Low,Payment Provider may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Payment Provider. Consider using a standard authentication mechanism to identify the external entity.
Spoofing of the Job Portal External Destination Entity,Spoofing,Job Feed Request,API Backend and Job Portal,Low,Job Portal may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Job Portal. Consider using a standard authentication mechanism to identify the external entity.
Spoofing of the Identity Provider External Destination Entity,Spoofing,OAuth Token Request,Identity Provider and API Backend,Low,Identity Provider may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Identity Provider. Consider using a standard authentication mechanism to identify the external entity.
Spoofing of the Email/SMS Gateway External Destination Entity,Spoofing,Send Notifications (HTTPS),API Backend and Email/SMS Gateway,Low,Email/SMS Gateway may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Email/SMS Gateway. Consider using a standard authentication mechanism to identify the external entity.
Data Store Denies HR Database Potentially Writing Data,Repudiation,SQL Query,API Backend and Databases,Low,"HR Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Data Store Denies Student Database Potentially Writing Data,Repudiation,SQL Query,API Backend and Databases,Low,"Student Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Data Store Denies Finance Database Potentially Writing Data,Repudiation,SQL Query,API Backend and Databases,Low,"Finance Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Data Store Denies Object Storage (LMS Files) Potentially Writing Data,Repudiation,Store File,Upload Scan Service and Object Storage,Low,"Object Storage (LMS Files) claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Data Store Denies Log Store Potentially Writing Data,Repudiation,Write Log,Audit service and Log Store,Low,"Log Store claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Potential Data Repudiation by WAF / Reverse Proxy,Repudiation,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Low,"WAF / Reverse Proxy claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Potential Data Repudiation by WAF / Reverse Proxy,Repudiation,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Low,"WAF / Reverse Proxy claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Potential Data Repudiation by Admin Portal,Repudiation,Admin Login (HTTPS),Admin and Admin Portal,High,"Admin Portal claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Potential Data Repudiation by WAF / Reverse Proxy,Repudiation,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,Low,"WAF / Reverse Proxy claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
External Entity Payment Provider Potentially Denies Receiving Data,Repudiation,Payment API Call,API Backend and Payment Provider,Low,"Payment Provider claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
External Entity Job Portal Potentially Denies Receiving Data,Repudiation,Job Feed Request,API Backend and Job Portal,Low,"Job Portal claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
External Entity Identity Provider Potentially Denies Receiving Data,Repudiation,OAuth Token Request,Identity Provider and API Backend,Low,"Identity Provider claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
External Entity Email/SMS Gateway Potentially Denies Receiving Data,Repudiation,Send Notifications (HTTPS),API Backend and Email/SMS Gateway,Low,"Email/SMS Gateway claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Potential Data Repudiation by API Backend,Repudiation,OAuth Token Response,Identity Provider and API Backend,Low,"API Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Potential Data Repudiation by API Backend,Repudiation,Payment Webhook,Payment Provider and API Backend,High,"API Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data."
Data Flow Sniffing,Information Disclosure,SQL Query,API Backend and Databases,Medium,"Data flowing across SQL Query may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow."
Data Flow Sniffing,Information Disclosure,SQL Query,API Backend and Databases,Medium,"Data flowing across SQL Query may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow."
Data Flow Sniffing,Information Disclosure,SQL Query,API Backend and Databases,Medium,"Data flowing across SQL Query may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow."
Data Flow Sniffing,Information Disclosure,Store File,Upload Scan Service and Object Storage,Medium,"Data flowing across Store File may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow."
Data Flow Sniffing,Information Disclosure,Write Log,Audit service and Log Store,Medium,"Data flowing across Write Log may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow."
Potential Excessive Resource Consumption for API Backend or HR Database,Denial Of Service,SQL Query,API Backend and Databases,Medium,"Does API Backend or HR Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout."
Data Flow Binary Is Potentially Interrupted,Denial Of Service,SQL Query,API Backend and Databases,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Data Store Inaccessible,Denial Of Service,SQL Query,API Backend and Databases,Medium,An external agent prevents access to a data store on the other side of the trust boundary.
Potential Excessive Resource Consumption for API Backend or Student Database,Denial Of Service,SQL Query,API Backend and Databases,Medium,"Does API Backend or Student Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout."
Data Flow SQL Query Is Potentially Interrupted,Denial Of Service,SQL Query,API Backend and Databases,High,An external agent interrupts data flowing across a trust boundary in either direction.
Data Store Inaccessible,Denial Of Service,SQL Query,API Backend and Databases,Medium,An external agent prevents access to a data store on the other side of the trust boundary.
Potential Excessive Resource Consumption for API Backend or Finance Database,Denial Of Service,SQL Query,API Backend and Databases,Medium,"Does API Backend or Finance Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout."
Data Flow Binary Is Potentially Interrupted,Denial Of Service,SQL Query,API Backend and Databases,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Data Store Inaccessible,Denial Of Service,SQL Query,API Backend and Databases,Medium,An external agent prevents access to a data store on the other side of the trust boundary.
Potential Excessive Resource Consumption for Upload Scan Service or Object Storage (LMS Files),Denial Of Service,Store File,Upload Scan Service and Object Storage,Medium,"Does Upload Scan Service or Object Storage (LMS Files) take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout."
Data Flow Binary Is Potentially Interrupted,Denial Of Service,Store File,Upload Scan Service and Object Storage,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Data Store Inaccessible,Denial Of Service,Store File,Upload Scan Service and Object Storage,Medium,An external agent prevents access to a data store on the other side of the trust boundary.
Potential Excessive Resource Consumption for Audit Service or Log Store,Denial Of Service,Write Log,Audit service and Log Store,Medium,"Does Audit Service or Log Store take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout."
Data Flow Write Log Is Potentially Interrupted,Denial Of Service,Write Log,Audit service and Log Store,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Data Store Inaccessible,Denial Of Service,Write Log,Audit service and Log Store,Medium,An external agent prevents access to a data store on the other side of the trust boundary.
Potential Process Crash or Stop for WAF / Reverse Proxy,Denial Of Service,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Medium,"WAF / Reverse Proxy crashes, halts, stops or runs slowly; in all cases violating an availability metric."
Data Flow Portal Request (HTTPS) Is Potentially Interrupted,Denial Of Service,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Potential Process Crash or Stop for WAF / Reverse Proxy,Denial Of Service,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Medium,"WAF / Reverse Proxy crashes, halts, stops or runs slowly; in all cases violating an availability metric."
Data Flow Portal Request (HTTPS) Is Potentially Interrupted,Denial Of Service,Portal Request (HTTPS),Student and WAF/Reverse Proxy,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Potential Process Crash or Stop for Admin Portal,Denial Of Service,Admin Login (HTTPS),Admin and Admin Portal,High,"Admin Portal crashes, halts, stops or runs slowly; in all cases violating an availability metric."
Data Flow Admin Login (HTTPS) Is Potentially Interrupted,Denial Of Service,Admin Login (HTTPS),Admin and Admin Portal,High,An external agent interrupts data flowing across a trust boundary in either direction.
Potential Process Crash or Stop for WAF / Reverse Proxy,Denial Of Service,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,Medium,"WAF / Reverse Proxy crashes, halts, stops or runs slowly; in all cases violating an availability metric."
Data Flow Internet Traffic (HTTPS) Is Potentially Interrupted,Denial Of Service,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Data Flow Payment API Call Is Potentially Interrupted,Denial Of Service,Payment API Call,API Backend and Payment Provider,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Data Flow Job Feed Request Is Potentially Interrupted,Denial Of Service,Job Feed Request,API Backend and Job Portal,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Data Flow OAuth Token Request Is Potentially Interrupted,Denial Of Service,OAuth Token Request,Identity Provider and API Backend,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Data Flow Send Notifications (HTTPS) Is Potentially Interrupted,Denial Of Service,Send Notifications (HTTPS),API Backend and Email/SMS Gateway,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Potential Process Crash or Stop for API Backend,Denial Of Service,OAuth Token Response,Identity Provider and API Backend,Medium,"API Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric."
Data Flow OAuth Token Response Is Potentially Interrupted,Denial Of Service,OAuth Token Response,Identity Provider and API Backend,Medium,An external agent interrupts data flowing across a trust boundary in either direction.
Potential Process Crash or Stop for API Backend,Denial Of Service,Payment Webhook,Payment Provider and API Backend,High,"API Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric."
Data Flow Payment Webhook Is Potentially Interrupted,Denial Of Service,Payment Webhook,Payment Provider and API Backend,High,An external agent interrupts data flowing across a trust boundary in either direction.
Elevation Using Impersonation,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,WAF / Reverse Proxy may be able to impersonate the context of Student in order to gain additional privilege.
Elevation Using Impersonation,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,WAF / Reverse Proxy may be able to impersonate the context of Faculty in order to gain additional privilege.
Elevation Using Impersonation,Elevation Of Privilege,Admin Login (HTTPS),Admin and Admin Portal,High,Admin Portal may be able to impersonate the context of Admin in order to gain additional privilege.
Elevation Using Impersonation,Elevation Of Privilege,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,WAF / Reverse Proxy may be able to impersonate the context of External Attacker in order to gain additional privilege.
Elevation Using Impersonation,Elevation Of Privilege,Forwarded Request,WAF/Reverse Proxy and Frontend,High,Frontend (Student/Faculty Portal) may be able to impersonate the context of WAF / Reverse Proxy in order to gain additional privilege.
Elevation Using Impersonation,Elevation Of Privilege,Admin API Call,Admin Portal and API Backend,High,API Backend may be able to impersonate the context of Admin Portal in order to gain additional privilege.
Elevation Using Impersonation,Elevation Of Privilege,API Request,Frontend and API Backend,High,API Backend may be able to impersonate the context of Frontend (Student/Faculty Portal) in order to gain additional privilege.
Weakness in SSO Authorization,Elevation Of Privilege,OAuth Token Request,Identity Provider and API Backend,High,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.
Elevation Using Impersonation,Elevation Of Privilege,OAuth Token Response,Identity Provider and API Backend,High,API Backend may be able to impersonate the context of Identity Provider in order to gain additional privilege.
Elevation Using Impersonation,Elevation Of Privilege,Payment Webhook,Payment Provider and API Backend,High,API Backend may be able to impersonate the context of Payment Provider in order to gain additional privilege.
Elevation Using Impersonation,Elevation Of Privilege,File Upload,Frontend and Upload Scan Service,High,Upload Scan Service may be able to impersonate the context of Frontend (Student/Faculty Portal) in order to gain additional privilege.
Elevation Using Impersonation,Elevation Of Privilege,Audit Entry,API Backend and Audit Service,High,Audit Service may be able to impersonate the context of API Backend in order to gain additional privilege.
WAF / Reverse Proxy May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,Student may be able to remotely execute code for WAF / Reverse Proxy.
Elevation by Changing the Execution Flow in WAF / Reverse Proxy,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,An attacker may pass data into WAF / Reverse Proxy in order to change the flow of program execution within WAF / Reverse Proxy to the attacker's choosing.
Cross Site Request Forgery,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting,   The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations."
WAF / Reverse Proxy May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,Faculty may be able to remotely execute code for WAF / Reverse Proxy.
Elevation by Changing the Execution Flow in WAF / Reverse Proxy,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,An attacker may pass data into WAF / Reverse Proxy in order to change the flow of program execution within WAF / Reverse Proxy to the attacker's choosing.
Cross Site Request Forgery,Elevation Of Privilege,Portal Request (HTTPS),Student and WAF/Reverse Proxy,High,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting,   The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations."
Admin Portal May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Admin Login (HTTPS),Admin and Admin Portal,High,Admin may be able to remotely execute code for Admin Portal.
Elevation by Changing the Execution Flow in Admin Portal,Elevation Of Privilege,Admin Login (HTTPS),Admin and Admin Portal,High,An attacker may pass data into Admin Portal in order to change the flow of program execution within Admin Portal to the attacker's choosing.
Cross Site Request Forgery,Elevation Of Privilege,Admin Login (HTTPS),Admin and Admin Portal,High,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting,   The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations."
WAF / Reverse Proxy May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,External Attacker may be able to remotely execute code for WAF / Reverse Proxy.
Elevation by Changing the Execution Flow in WAF / Reverse Proxy,Elevation Of Privilege,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,An attacker may pass data into WAF / Reverse Proxy in order to change the flow of program execution within WAF / Reverse Proxy to the attacker's choosing.
Cross Site Request Forgery,Elevation Of Privilege,Internet Traffic (HTTPS),External Attacker and WAF/Reverse Proxy,High,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting,   The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations."
API Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,OAuth Token Response,Identity Provider and API Backend,High,Identity Provider may be able to remotely execute code for API Backend.
Elevation by Changing the Execution Flow in API Backend,Elevation Of Privilege,OAuth Token Response,Identity Provider and API Backend,High,An attacker may pass data into API Backend in order to change the flow of program execution within API Backend to the attacker's choosing.
API Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Payment Webhook,Payment Provider and API Backend,High,Payment Provider may be able to remotely execute code for API Backend.
Elevation by Changing the Execution Flow in API Backend,Elevation Of Privilege,Payment Webhook,Payment Provider and API Backend,High,An attacker may pass data into API Backend in order to change the flow of program execution within API Backend to the attacker's choosing.
